internship_title,skills_required
Financial Analytics,accounting;financial analysis
Consultant,
Graphic Design And Website Design,css;figma;git;graphic design;html;ui/ux design
Back-link And Content Strategy,
Animated Video Creation,
Project Management (MBA),
Fullstack App Development,git
Marketing Analysis,digital marketing;excel;social media marketing
Tech Sales,
"Imaging And Code Development Using IMX477, Rasp Pi Module",git
VoIP Systems Management,
Node Website Development & Payment Gateway Integration,css;git;html;javascript;node.js
Cyber Security Assistance,
Commodities Exchange,
Finance Management,accounting;excel;financial analysis
Social Media Management & Graphic Design,digital marketing;figma;graphic design;social media marketing;ui/ux design
Equity Analytics,
Finance Research,accounting;excel;financial analysis
Apparel Design,figma;graphic design;ui/ux design
Food Photography,
E-commerce,
SEO And Content Writing,seo
Program Coordination,
Operations Assistance,
Lead Generation - Whatsapp Group Scraping,
Sales And Operations,
Growth Marketing,digital marketing;excel;social media marketing
Business Growth,
Admission Lead Management,
Growth And Strategy Management,
Regional Marketing,digital marketing;excel;social media marketing
Operations & Business Development,git
Outreach Management,
Computer Vision,
Fashion Cum Merchandising Design,figma;graphic design;ui/ux design
Office Administration,
Creative Training,deep learning;graphic design;machine learning;nlp;python;tensorflow
Client Servicing & Team Coordination,
DevOps,aws;azure;docker;git
Performance Sales,
General Management And Marketing,digital marketing;excel;social media marketing
Customer Acquisition,
Team Leading (Sales),
Strategic Leading,
Lead Management,
Merchandising,
VBA Excel Programming (Algorithmic Trading),git
Blog Writing (SEO-Optimized),seo
ERP Functional Operations,
Design & Fabrication,figma;graphic design;ui/ux design
Social Media Associate,digital marketing;social media marketing
Market Sales,
Content Writing (Gaming),
Reel Creation,
Interior Design/Architect,figma;graphic design;ui/ux design
Real Time Sales,
Finance Ops,accounting;excel;financial analysis
Financial Analyst,accounting;financial analysis
QA Testing,
Influencer Management and Social Media Marketing,digital marketing;excel;social media marketing
Game Development (Unity/ Unreal),c++;git
Script Writing/Storytelling,
"Video Editing, Motion Graphics And VFX",
Voice-Over Video Editing,
Human Resources/Operations,
"Sales, Marketing & PR",digital marketing;excel;social media marketing
Travel Consultant,
Acting,
Business Development (Lead Generation),git
Personal Branding,
Growth And Social Media Marketing,digital marketing;excel;social media marketing
YouTube Editing,
Shopify Web Development,css;git;html;javascript;react
E-Commerce Catalog Management,
Photography & Videography,
Reels & Content Creation,
Subject Matter Expert (Inorganic Chemistry),
Subject Matter Expert (Statistics),
Amazon Account Management,
Graphic Design And Game Design,figma;graphic design;ui/ux design
HR - BD,
One-to-One Teaching (JEE Subjects),
Social Media Marketing (Design Background And Video Editing),digital marketing;excel;figma;graphic design;social media marketing;ui/ux design
Digital Marketing - Instagram Marketing,digital marketing;excel;social media marketing
Cash On Delivery Customer Operations,
Anchoring,
React.js Development,git;javascript;react
Social Media Content,digital marketing;social media marketing
SME(Mathematics And Latex),
Logistics,
Client Platform Support,
Lead Closing,
Content Operations,
SSC Creative Content Curation,graphic design
"Setup Of Zoho CRM , Desk , Forms",
Digital Sales,
Business Development & Operations,git
Jewellery Design,figma;graphic design;ui/ux design
Content Video Editing,
Digital Marketing - SEM & PPC,digital marketing;excel;social media marketing
Video Cut,
Associate Consultant,
Assistance,
Software Development Engineering (Web),css;git;html
Prompt Engineering,
College Question Solving (Remote),
Instagram Page Management,
JavaScript Development,git;java;javascript
UX Research,figma;ui/ux design
LinkedIn Management,
AWS Development,aws;git
Market Research (Sustainable Finance),accounting;deep learning;excel;financial analysis;machine learning;nlp;python;tensorflow
Graphic And Visual Design,figma;graphic design;ui/ux design
Creative Content Writing,graphic design
Content Development (Mathematics),git
Copy Editing,
Immigration Intern,
SME Accounitng QC,
Full-stack Data Engineering,
Finance Analytics,accounting;excel;financial analysis
DevOps Engineering,aws;azure;docker;git
HR/Back Office/Talent Acquisition/Teleconference Calling,
Photo & Video Editing,
Marketing And Content Strategy,digital marketing;excel;social media marketing
Executive Assist To Co-founder,
Virtual Office Assistance,
Derivative Trading,
Store Fashion Consultant,
Recruitment Data Science,machine learning;pandas;python
Behavioral Data Science,machine learning;pandas;python
Data Science Analytics,machine learning;pandas;python
Backend Development (Python),docker;git;java;node.js;pandas;python
Website Development & SEO,css;git;html;seo
Web3 Development,css;git;html
AppSheet App Development,git
Event Innovation,
SUSTAINABILITY MANAGEMENT,deep learning;machine learning;nlp;python;tensorflow
Post/Reel Creation - Social Media,digital marketing;social media marketing
Tax And Legal,
Garment Merchandising,
Webflow Development,css;git;html
Linkedin Managment,
Project Management & Delivery Management,
Election Research,
Civil Engineering SME,
Event Hosting/Emcee,
Hiring Development,git
Market Survey Research & Service Assurance,
YouTube Vlogging,
Reels Creations,
Game Development,c++;git
Ads Designing & Creation (Reels & Videos),figma;graphic design;ui/ux design
Back Office Operations,
Project Assistance - Operations,
Creative Video Making,graphic design
IT Support,
Recruiting,
Trending Content Research & Writing (For Instagram & Youtube),
Office Admin & HR,
Social Media Marketing And Graphics,digital marketing;excel;social media marketing
Architecture/Interior Design,figma;graphic design;ui/ux design
Training & Support,deep learning;machine learning;nlp;python;tensorflow
Psychology (Business Development),git
Software Testing,git
Doubt Solving Experts (Physics),
Human Resources (HR) & Marketing,digital marketing;excel;social media marketing
International Refugee And Migrant Rights Operations,
Esports Operations,
Tele-Marketing,digital marketing;excel;social media marketing
Flutter App Development (iOS App),git
Anchoring & Voice Over,
Multimedia Design,figma;graphic design;ui/ux design
C# -DotNetCore Web Development,css;git;html;javascript;react
Robot Operating System Development (ROS2),git
Social Media Strategist,digital marketing;social media marketing
Resume Writing,
Reel Creation (from East India),
Reel Creation (from West India),
Client Service And Sales,
WordPress (Elementor) & Shopify Web Development,css;git;html;javascript;react
"Face Recognition System, Computer Vision, & AI",deep learning;machine learning;nlp;python;tensorflow
Operations (Field Role),
Program Coordinator,
Web Development (Python/Django),css;git;html;javascript;pandas;python;react
Manual Data Entry And Analysis,
Assistant To The Founder,
Telecalling & Sales Coordination (Fintech Lending),
Graphic Designer,figma;graphic design;ui/ux design
Telecalling & Business Development (US),git
Business Development (B2B Sales),git
Social Media Brand Ambassador,digital marketing;social media marketing
Short Form Video Editing For Instagram Reels,
Learning Operations Maverick,
React-Native Development,git;javascript;react
Content Creation & Social Media Marketing (A Pet Care Brand),digital marketing;excel;social media marketing
Data Engineering,
Financial And Advertising,accounting;financial analysis
Video/Audio Editing,
Social Sector Marketing,digital marketing;excel;social media marketing
Operations (TorchBearer),
Project Management (Sales And Marketing),digital marketing;excel;social media marketing
Investment Analysis (Capital Market),financial analysis
Business Analyst (Technical),excel;sql
Business Analyst (Marketing),digital marketing;excel;social media marketing;sql
Foreign Exchange Market,
C++ Development,c++;git
Sales Coordination,
Doubt Solving (Chemistry),
AI Fullstack Developer,deep learning;git;machine learning;nlp;python;tensorflow
Equity Research Analysis,
Financial Market,accounting;financial analysis
Content Writing (WWE),
Actress (For Social Media Post Creation),digital marketing;social media marketing
Film Making - Art Gallery,
AI Developer,deep learning;git;machine learning;nlp;python;tensorflow
Teaching Volunteer,
E-commerce Order Management,
Basketball Content Writing,
Accounting & MIS,accounting;excel;financial analysis
Marketing Project,digital marketing;excel;social media marketing
News Writing- Indian Stock Market,
Virtual Assistance,
Office Executive/Merchandising,
Building Information Modelling,
Field Promotion,
International Sales & Marketing (E-Commerce),digital marketing;excel;social media marketing
Angular Development,git
React Native Mobile Application Full Stack Development IOS,css;git;html;javascript;node.js;react
Learning Advisor- Inside Sales,
Equity Analyst,
"Stock Market Operations, Research, Data Analysis & Marketing",digital marketing;excel;pandas;social media marketing;sql
Investment,financial analysis
Admin Assistance,
Architecture & Design Consultancy Services,figma;graphic design;ui/ux design
Founder's Office,
Business Development (Marketing & Sales),digital marketing;excel;git;social media marketing
Software Development (Node.js),git;javascript;node.js
Content Development For YouTube & Instagram,git
Growth Product Management,
Content Editing,
Podcast Editing,
Business Development (Marketing),digital marketing;excel;git;social media marketing
Tele Sale,
Management (Digital),
Software Development (ReactJS),git;javascript;react
Instagram Marketing,digital marketing;excel;social media marketing
Full Stack React Development,css;git;html;javascript;node.js;react
Quantitative Analytics,
Mathematics Video Solutions (English),
Physics Video Solutions (English),
Social Media Marketing (Instagram),digital marketing;excel;social media marketing
Maths,
React JS Development,git;javascript;react
Artificial Intelligence (AI) - Subject Matter Expert,deep learning;machine learning;nlp;python;tensorflow
Informative Reel Creation,
Software Engineering,git
Facebook Marketing,digital marketing;excel;social media marketing
Subject Matter Expert (Accounts),
Telesales Specialization,
Piano Teaching,
Flutter App Development,git
Robotics,
E-commerce Marketplace Management,
Research (Economics & Data Analysis),pandas;sql
.NET Development,git
General Management (Founder's Office),
Customer Engagement,
Factory Operations,
Fashion Design & Merchandising,figma;graphic design;ui/ux design
Audio Making/Editing & Digital Marketing,digital marketing;excel;social media marketing
Flutter Development - Build Innovative Educational Apps,git
"Game Development, AR/VR",c++;git
HR Associate,
Hospitality,
IT Technical Recruitment,
Electronics (Embedded And Analog),c++
Subject Matter Expert (Geography & Economics),
Brand Partnerships,
Tutoring (For Entrance Coaching For Design Colleges In India),figma;graphic design;ui/ux design
PTV Visum / Vissim Modeler,
Subject Matter Expert (SME) Finance,accounting;excel;financial analysis
Subject Matter Expert (SME) Statistics & Probability,
PHP And WordPress Web Development,css;git;html;javascript;react
Subject Matter Expert (Biology),
Branding,
Subject Matter Expert (Computer Science),
Sales (Travel & Tourism),
Subject Matter Expert (SME) Accounting,accounting;excel;financial analysis
Retail Marketing,deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Platform Growth,
Wealth Management,
Subject Matter Expert (Physics/Advanced Physics),
Architecture and Interior Design,figma;graphic design;ui/ux design
School Counseling,
HR Business Partner - Talent Acquisition,
Video Creation (from North India),
Reel Making (from South India),
Graphic Design & Instagram Handling,figma;graphic design;ui/ux design
Technical Content Writer,
Photography & Filmmaking,
Machine Learning Developer (Python),git;machine learning;pandas;python;tensorflow
Node.js Developer,git;javascript;node.js
Data Analytics & Backtesting,
Software Development Engineer,git
Web Design/Development,css;figma;git;graphic design;html;ui/ux design
Technical Presentation & Graphic Design,figma;graphic design;ui/ux design
Creative Writing - Screenplay,graphic design
Independent Sales,
Webflow Design,css;figma;git;graphic design;html;ui/ux design
PHP Front End Development,git
Full Stack Development - MERN (ReactJS + NodeJS),css;git;html;javascript;node.js;react
Subject Matter Expert (PCMB),
Customer Service Engineering (IT),
Web Development Teaching Assistance (Virtual),css;git;html;javascript;react
Blog Writing,
SQL Development,git;sql
Content Writing (Technology),
Content Publishing,
Software Engineer - Internship,git
Director's Assistant,
Social Media Marketing Influencer,digital marketing;excel;social media marketing
Algo Trading Backtest Development,git
Real Time Doubt Solving (SME),
Machine Learning Engineering,machine learning;python;tensorflow
Graphic Design And Web Development,css;figma;git;graphic design;html;javascript;react;ui/ux design
IT Business Development,git
Problem Setter,
Google Ads,
Operations (Virtual Assistant),
Crowdfunding/Fundraising,deep learning;machine learning;nlp;python;tensorflow
Social Sector Blog Content Writing,
Online Western Vocals Tutoring,
Online CBSE Arabic Tutoring,
Customer Service & Sales,
Content Writing (On WordPress),
Full Stack Developer,css;git;html;javascript;node.js;react
Legal Associate,
Graphic Design (T-shirt & Hoodie Design),figma;graphic design;ui/ux design
Digital & Social Media Marketing,digital marketing;excel;social media marketing
Trainee Recruitment,deep learning;machine learning;nlp;python;tensorflow
Graphic Design & Computer Operation,figma;graphic design;ui/ux design
Marketing & Communication,digital marketing;excel;social media marketing
Social Research Data Collection,
YouTube Content Strategy And Business Development (Kannada),git
Social Media & Content Management (Video Editing),digital marketing;social media marketing
Subject Matter Expert (Social Science Or Journalism),
Graphic Design & Video Editing,figma;graphic design;ui/ux design
Lead Generation (LinkedIn),
News Desk &Social Media Management,digital marketing;social media marketing
Administration & Social Media,digital marketing;social media marketing
Data Engineering/Big Data Development & Testing,git
Event Assistance,
Content Creation (Culinary),
Program Managment,
Coding And Robotics,
Social Media Marketing (Influencing),digital marketing;excel;social media marketing
Project coordination,
Finance & Accounts,accounting;excel;financial analysis
Translation/Transcription/Recording,
Administration & Communications Coordination,
Video Content Creator (Spoken English) And English Language Instructor,
Shopify Website Management & Social Media,css;digital marketing;git;html;social media marketing
Content Writing/Product Management,
Marketing Coordination (Telecalling),digital marketing;excel;social media marketing
API Deployment,
Enterprise Risk Management,
Agriculture & Food Management,
Graphic Design / Motion Graphics,figma;graphic design;ui/ux design
Investment intern,financial analysis
Data Mining,
Business Strategy,
Subject Matter Expert (Video Solution),
YouTube Video And Reels Editing,
Front End Operator,
MIS Executive,
Statistics,
Applications For Data Entry (Content Writing) Internship,
Web Development & Digital Marketing,css;digital marketing;excel;git;html;javascript;react;social media marketing
Product Support Engineering,
Python And Java Machine Learning (OpenAI GPT),deep learning;java;machine learning;nlp;pandas;python;tensorflow
Business Development Intern (IT Sales),git
Website or WordPress Development,css;git;html
Child Psychology,
Social Media Marketing & Lead Generation,digital marketing;excel;social media marketing
Script Review,
Film And Video Editing,
Chemistry/Statistics - Subject Matter Expert,
Facebook Ad Management,
Food Science,
Algorithm Development,git
Web And Mobile App Development,css;git;html
Office Admin,
Multimedia Production,
Product Development And Procurement,git
Trial Booking Pre-Sales,
AWS DevOps Engineer,aws;azure;docker;git
Frontend Development,css;git;html;javascript;react
YouTube Content Creation,
Design & Portfolio Management,figma;graphic design;ui/ux design
"Web Development (HTML, CSS)",css;git;html;javascript;machine learning;react
Deals Management,
E-commerce Associate,
Entrepreneurship,
Robot Design & Construction,figma;graphic design;ui/ux design
Swift Development,git
Quality Analysis & Quality Control,
Content Writing & Reviewing,
Core PHP & Laravel Development,git
Mathematics Content Development,git
Academic Counseling (Telecalling),
PHP/Zoho Development,git
Fintech Java Dev,java
Office Assistance (Travel Firm),
Graphic Design (iPad Art),figma;graphic design;ui/ux design
Subject Matter Expert (SME) (English),
AI Psychology,deep learning;machine learning;nlp;python;tensorflow
Business Innovation,
Social Media Management & Content Writing,digital marketing;social media marketing
C++ Developer,c++;git
Operations Management,
Content Writing (eSports),
Blogging,
Optoelectronics,
"Trainer - HTML, CSS, JS, Bootstrap",deep learning;machine learning;nlp;python;tensorflow
Cosmetology SME,
News Reporting,
Teaching Robotics,
Social Media & Business Development,digital marketing;git;social media marketing
SEO And Website Optimization,css;git;html;seo
Ghost Writing,
Node.js Development (Backend),docker;git;java;javascript;node.js
Young CEO Curriculum Innovation,
Applied Psychology,
Python (Django) Development,git;pandas;python
Training Coordination,deep learning;machine learning;nlp;python;tensorflow
Flutter Mobile App Development,git
Medical Licensing Exams Blog Writing,
Customers Management,
Content Writing & Creation,
Academic Content Development (English Grammar & Science),git
Thumbnail Making,deep learning;machine learning;nlp;python;tensorflow
Gaming Video Editing,
Multimedia Graphic Design,figma;graphic design;ui/ux design
Cafe Management,
Baking,
Non IT Recruitment,
Agronomy,
Cameraman,
UI/UX Development,figma;git;ui/ux design
Operations (E-Commerce),
Graphic Design & Reel Editing,figma;graphic design;ui/ux design
Computer Vision - Annotation,
Lead Generaion,deep learning;machine learning;nlp;python;tensorflow
Accounting & Taxation,accounting;excel;financial analysis
Lead Generation From LinkedIn,
Odoo Development,git
Technology Research,
Content Creation For UK Curriculum,
Embedded/ IoT Systems Development,c++;git
Legal & Compliance,
Research Analytics (Artificial Intelligence),deep learning;machine learning;nlp;python;tensorflow
Field Promotion For Events,
Pre-sales,
Architecture - females required,
Biotechnology Engineering,
Algo Trading,
Web Design,css;figma;git;graphic design;html;ui/ux design
Game Design,figma;graphic design;ui/ux design
Business Consulting,
NGO Partnership,
Robotics Software,git
Subject Matter Expert (English),
Telecalling (Sales & Marketing),digital marketing;excel;social media marketing
Customer Success Management,
Competitors Research,
Business Research Analytics & Writing – Web3 And Digital,css;git;html
Reel Creations,
Marketing (B2B),digital marketing;excel;social media marketing
Brand Ambassador,
Search Engine Optimization/Marketing,digital marketing;excel;seo;social media marketing
Export Merchandising,
Marketing Research,digital marketing;excel;social media marketing
Market Research For Lead Generation– APAC Region,
Digital Marketing And Backend Work,digital marketing;docker;excel;java;node.js;social media marketing
Content & Video Creation,
Operations & Strategy,
Design Management,figma;graphic design;ui/ux design
UI/UX / Graphic Design,figma;graphic design;ui/ux design
Event Management & Social Media,digital marketing;social media marketing
Marketing And Lead Generation,digital marketing;excel;social media marketing
Personal Brand Management (Strategy),
Batch Operations,
Digital Marketing And Sales,digital marketing;excel;social media marketing
Python/Flask Development,git;pandas;python
Warehouse Management,
Voice Over Artist,
Digital Marketing And WordPress,digital marketing;excel;social media marketing
Digital Marketing And Support Executive,digital marketing;excel;social media marketing
Content And Copywriting,
Business Development (Work From Home),git
Kannada Known CBSE Maths Tutoring,
Business Relationship Management,
Impact Leading,
Facebook Ads,
Appsheet & MIS,
Sales Development Representation,git
Auditing & Accounting,accounting;excel;financial analysis
Web Content Writing,css;git;html
Illustration & UI Design,figma;graphic design;ui/ux design
Motion Graphic Design,figma;graphic design;ui/ux design
Graphic Design & Brand Identity,figma;graphic design;ui/ux design
Finance/Accounting,accounting;excel;financial analysis
Remote Sales,
Motion Graphics/2D Isometric Animation,
Unreal Engine Level Design,figma;graphic design;ui/ux design
Fashion Influencing,
CS Management,
Data Entry - Hindi / Punjabi Lyrics And Story Typing,
Public Relations (PR),
SaaS Marketing,digital marketing;excel;social media marketing
Media Planning,
Business Development (Telesales),git
NodeJS Development,git;javascript;node.js
Web Development - Full Stack Developer,css;git;html;javascript;node.js;react
Financial Analytics (Equity/Equity Derivative/VDA),accounting;financial analysis
Business Development Executive,git
PLC Programming,git
Website Handling And Product Listing,css;git;html
Center Management,
Communication,
Content Writing And Video Editing,
Field Executive,
Embedded Software Engineering,c++;git
Digital Marketing (Ad Sales),digital marketing;excel;social media marketing
Industrial 3D Printing And Product Design,figma;graphic design;ui/ux design
Operations Analyst (Founder's Office),
Embedded Software Development,c++;git
SEO Backlinks,seo
Html/Xml Operations,machine learning
Data Operation,
Content Writing And Publishing On News Sites,
Social Media Video Creator And Marketing,digital marketing;excel;social media marketing
Retail Sales,deep learning;machine learning;nlp;python;tensorflow
Office Coordination,
Youth Fellowship - For Girls,
AI Automation Workflow,deep learning;machine learning;nlp;python;tensorflow
ERP And Supply Chain Management,deep learning;machine learning;nlp;python;tensorflow
Talent Acquisition And HR,
Content Management And Operations,
Event Management & Operations(Activities & Contests For Schools),
Business Development (sales) Real Estate,git
Marketing Communications,digital marketing;excel;social media marketing
Supply Chain Management And Sourcing,deep learning;machine learning;nlp;python;tensorflow
Sales - Fitness And Training Consultancy,deep learning;machine learning;nlp;python;tensorflow
SEO Blogging,seo
Artist Management,
Clothing Design,figma;graphic design;ui/ux design
Securities And Asset Analysis,
Business Development - IT Sales,git
Customer Onboarding And Training,deep learning;machine learning;nlp;python;tensorflow
Digital Marketing & Content Creation,digital marketing;excel;social media marketing
Subject Matter Expert (Physics/Chemistry/Statistics),
PCB Designing,figma;graphic design;ui/ux design
Illustration,
Environment Design (Unreal Engine 5),figma;graphic design;ui/ux design
Game Design (Unreal Engine 5),figma;graphic design;ui/ux design
3D Modelling & Texturing For Game Asset (Blender/Maya/Substance Painter),deep learning;machine learning;nlp;python;tensorflow
"News Anchoring( Tech, Politics, Health, Career)(YouTube - Hindi)",
Volunteer Community Moderation,
Content Creation (Machine Learning And Data Science),machine learning;pandas;python;tensorflow
Medical/Health Writing,
Content Writing - Education,
Social Media Marketing And Graphic Design,digital marketing;excel;figma;graphic design;social media marketing;ui/ux design
Social Impact,
Travel And Tourism,
React Native,javascript;react
Campaign Support,deep learning;machine learning;nlp;python;tensorflow
Youth Connective,
Graphic Concept Artificial Intelligence (AI),deep learning;machine learning;nlp;python;tensorflow
Admissions Advisor,
Content Writing And Social Media,digital marketing;social media marketing
Gaming Illustration,
Digital Marketing and Content Writing,digital marketing;excel;social media marketing
3D Animation And VFX Unreal Engine,
Sales And Business Development,git
PHP Web Development,css;git;html;javascript;react
Management (Entrepreneurship),
Literature & Aesthetics Fellowship,
Corporate Finance,accounting;excel;financial analysis
Pre-Sales Operations,
Subject Matter Expert (SME) Bengali Medium,
I.T. Service Automation Coordination,python
Competitive Analysis,
Market Analysis,
GIS Analysis,
Digital Marketing (Sports),digital marketing;excel;social media marketing
Subject Matter Expert (Sanskrit),
Strategic Partnerships,
Video Editing And Content Creation,
Business Development Executive (Carbon Markets),git
Annotation,
Brand Design & Illustration,figma;graphic design;ui/ux design
Business Development Analyst (Marketing),digital marketing;excel;git;social media marketing
Operations & Research,
Founders Office - Organization,
Design And Visuals,figma;graphic design;ui/ux design
"Marketing, Content & E-Commerce Management",digital marketing;excel;social media marketing
Interior Design (6-month),figma;graphic design;ui/ux design
Counselling Sessions With Children,
Content & Digital Marketing,digital marketing;excel;social media marketing
Reels and Content Creation,
No-Code Development,git
Generative AI App Development,deep learning;git;machine learning;nlp;python;tensorflow
Content Creating And Social Media Management,digital marketing;social media marketing
Creative Ideation,graphic design
Customer Care Executive,
HR Consultancy/HR Recruitment/Telecalling,
Korean Teaching,
Planning And Logistics,
Content Writer,
Academic Content Writing (Statistics),
Content Creation (Mechanical And CSE),
Content Creation (Civil And Electrical Engineering),
Photo Editing And Video Editing,
Baking Operations,
Accessory & Product Design,figma;graphic design;ui/ux design
Research - CSR,
Field Studies (On field research),
Content Repurposing Managing,
Executive Assistance to the CEO,
Shopify Development & Design,figma;git;graphic design;ui/ux design
Telecalling (IT Sales),
Competitor Research,
Photography/Videography,
Subject Matter Expert (Accounts/Finance),accounting;excel;financial analysis
Video Presenting,
Informative Reel Script Writing,
Inventory Audit,
Market Research - Healthcare,
Software Development (JavaScript/Node.js),git;java;javascript;node.js
Sales (Events & Experience),
Mechanical Design Engineering,figma;graphic design;ui/ux design
Research Analyst (Commercial Property),
Electronics And Communication,
Graduate Science Trainee,deep learning;machine learning;nlp;python;tensorflow
Shopify Website Development,css;git;html
Farm Advisory (Agriculture)- Kannada & Marathi,
Quality Testing,
Back Office Executive (Female),
Fashion Styling,
SEO Executive,seo
Search Engine Optimization (SEO Consultant),seo
Social Psycohology,
Data Entry Operations,
International Operations,
Android IOS Mobile App Development,git;java
Thumbnail Design/Content Creation & Video Editing,deep learning;figma;graphic design;machine learning;nlp;python;tensorflow;ui/ux design
Subject Matter Expert (Basic Mathematics),
Shopify Development,git
Content Writing (Food),
Mass Communication And Journalism,
Executive Assistant (Founder's Office),
Front End Development (React JS),git;javascript;react
Artificial Neural Networks,deep learning
Event Concept,
Stock Market Trading,
YouTube Video Editing,
Video Editing and Graphic Designing,figma;graphic design;ui/ux design
Video Editing/Content Editing,
Anchor/Multimedia Production (Video Content Creation),
Vietnamese Translation,
Convolution Neural Network,deep learning
Business Development (Social Media),digital marketing;git;social media marketing
Shopify Store Design & Management,figma;graphic design;ui/ux design
Office Executive,
Cloud Computing,aws;azure;docker
HR Corporate Relations,
Content Moderation,
Facеbook Advеrtising,
Research (Education And AI),deep learning;machine learning;nlp;python;tensorflow
Advertising Sales,
Graphic Design/UI Design,figma;graphic design;ui/ux design
Graphic Design And Content Writing,figma;graphic design;ui/ux design
Teaching- Physical Education,
Video Making/Editing (Reels & Shorts),
Game Design And Development,figma;git;graphic design;ui/ux design
Growth Specialist,
Tailoring,deep learning;machine learning;nlp;python;tensorflow
Program & Outreach,
Facebook And Google Ads Marketing,digital marketing;excel;social media marketing
Administrative Support,
Project Assistance,
Video/Graphic Editing,
Web App Development (Zoho Creator),css;git;html
Electrical R&D,
Student Payment Coordination,
HR And Marketing,digital marketing;excel;social media marketing
Junior Accountancy,
Technical Support,
WordPress Development & SEO Management,git;seo
Mechanical Design (Engineering Support),figma;graphic design;ui/ux design
Assamese Shape Tool,
Recruitment (HR),
Business Development Associate,git
Project Assistant (Management/ Monitoring),
Tshirt Design,figma;graphic design;ui/ux design
Packaging,
Media & YouTube,
Digital Marketing (Female),digital marketing;excel;social media marketing
Presales,
Pre Sales,
Editorial For Podcast Programme,
HR-Business Development,git
SAT Tutoring - English/Mathematics,
Purchase Executive,
Business Coordination,
SEO/Performance Marketing/Content,digital marketing;excel;seo;social media marketing
Data Research,
Project Management (Edtech Industry),
ASP.net Development (Portal Development And Modification),git
Marketplace Associate,
GPT Model Development,git
Architecture & Interior Design,figma;graphic design;ui/ux design
Content Calendar Designing,figma;graphic design;ui/ux design
Image Processing - Machine Learning,machine learning;python;tensorflow
English Content Writing,
Business Strategy And Sales,
Social Media Marketing (Virtual Assistant),digital marketing;excel;social media marketing
Field Coordination,
SEO and Digital Marketing,digital marketing;excel;seo;social media marketing
Business Development Research,git
Outreach And Marketing,digital marketing;excel;social media marketing
Fashion Consulting & Social Media Handling,digital marketing;social media marketing
Brand Assistance,
Business Development - Digital Marketing,digital marketing;excel;git;social media marketing
IT Management For Product,
Infographics,
Engagement Specialist,
Artificial Intelligence (AI) Engineering,deep learning;machine learning;nlp;python;tensorflow
Marketing And Operations,digital marketing;excel;social media marketing
Embedded Hardware Engineering,c++
Web Engineering,css;git;html
Graphic Design/Social Media Management,digital marketing;figma;graphic design;social media marketing;ui/ux design
Street Interview Reels Creator,
DSA+MERN Stack Mentoring,
Python/ML Development,git;machine learning;pandas;python
Graphic Design/Illustration,figma;graphic design;ui/ux design
Embedded Systems Teaching For School Students (8th To 11th Standard),c++
Business Associate - Research And Analysis,
Webflow Web Development,css;git;html;javascript;react
Social Media Marketing/Strategy,digital marketing;excel;social media marketing
AI - Customer Experience & Sales Automation,deep learning;machine learning;nlp;python;tensorflow
VR Development,git
Digital Marketing And Research,digital marketing;excel;social media marketing
Supervision,
"Electronics, Electrical, Mechanical & Instrumentation Engineering",
Instrumentation and Control Engineering,
Audio Verification (Hindi/Telugu),
CA Articleship,
City Tour Guide (English/Spanish),
Architect,
React Native App Development,git;javascript;react
Media And Mass Communication,
Facebook Advertising,
HR - Recruitment,
Content Writing In All The Languages.,
2D Animation (Hindi),
Social Media Managementsoc,digital marketing;social media marketing
Embedded Web And Mobile Development,c++;css;git;html
Digital Marketing And Advertising,digital marketing;excel;social media marketing
Promotions,
SME - Physics,
SME - Economics,
SME - Statistics,
SME - Accountancy,
SME - Chemistry (Graduation),
News/ Interview Anchoring,
Paid Media,deep learning;machine learning;nlp;python;tensorflow
Digital Marketing & Graphic Design,digital marketing;excel;figma;graphic design;social media marketing;ui/ux design
Application Engineering - 3D Printing,
Dance Teaching,
Graphic Design For Podcast Cover,figma;graphic design;ui/ux design
Communication Trainer,deep learning;machine learning;nlp;python;tensorflow
Political Research Analysis,
Sales Development,git
E Commerce Executive,
Business Development (Corporate Gifting),git
Social Media Marketing And User Engagement,digital marketing;excel;social media marketing
"Content Writing, Catalogue Creation And Digital Marketing",digital marketing;excel;social media marketing
Customer Success Associate,
Recruitment (Non-IT),
Mobile App Development(Flutter Preferably Ios Experts),git
Business Development Representative,git
Business Development Champion,git
Content Writing - Spanish,
Human Resources (HR) - Recruitment,
Growth,
Content Writing & Publishing,
Website Content Management,css;git;html
Script Writing,
Nutrition Research And New Product Development,git
Web Development & Design,css;figma;git;graphic design;html;javascript;react;ui/ux design
Web And Graphic Design,css;figma;git;graphic design;html;ui/ux design
Reservations,
2D/3D Animation,
Motion Graphic,
Lead Development,git
Content And E-Commerce Management,
Talent Scouting,
Founder's Office | SaaS Product | Product Management,
AWS Node.js Lambda Development,aws;git;javascript;node.js
Journalism & Mass Communication,
Product Marketing And E-Commerce Operations,digital marketing;excel;social media marketing
Accounting And Taxation,accounting;excel;financial analysis
Business And Project Management,
Employee Engagement,
Robotics Education,
Figma Design,figma;graphic design;ui/ux design
Computer Operations Cum Office Administration,
Cloud/DevOps Engineering,aws;azure;docker;git
Content Specialist AI,deep learning;machine learning;nlp;python;tensorflow
Tutoring,
Social Work Operations,
TorchBearer Program Administration,
Business Development (People Partnerships),git
Team Administration,
Social & Digital Volunteering,
Psychology (Growth),
